Company,ethical_fashion_brand_score,Policies&Governance_Score(out of 6),Does the company have a Code of Conduct for suppliers?,Does the Code apply to multiple levels of the supply chain including the raw materials level?,"Does the company publicly disclose that it has a designated senior officer accountable for implementation, and a board committee/process tasked with oversight of its supply chain policies that address human rights and environmental sustainability?",Tracing&Risk_score(all stage Production ),environmental_sustainability_score(score_out_of_21),Has the company assessed the environmental impact of its top three fibres and materials used in its apparel products and implemented learnings from assessment into product design and production?,What percentage of the company's final product is made from sustainable fibers?,Has the company published an emissions reduction target and decarbonisation strategy in line with the current UN Fashion Industry Charter for Climate Action?,product_category
2XU,2,0,No,No,No,0,1,No,1-25%,No,general
Abercrombie & Fitch,31,4,Partial,Yes,Yes,11,7,Partial,1-25%,Partial,general
Accent Group,12,3,Partial,Partial,Partial,3,0,No,1-25%,No,general
Adidas,63,6,Yes,Yes,Yes,13,18,Yes,76-99%,Yes,general
Adidas (Footwear),55,5,Yes,Partial,Yes,12,16,Yes,1-25%,Yes,footwear
Aje,26,4,Yes,Partial,No,5,7,Yes,1-25%,No,general
ALDI Stores,32,3,Partial,Partial,Partial,6,8,Partial,26-50%,Partial,general
Allbirds,40,5,Yes,Partial,Partial,12,14,Yes,51-75%,Yes,general
Ally Fashion,3,2,Partial,No,No,2,0,No,1-25%,No,general
Amazon,13,4,Partial,Partial,Yes,2,4,Partial,1-25%,Partial,general
APG & Co,49,6,Yes,Yes,Yes,11,9,Yes,26-50%,No,general
AS COLOUR,65,6,Yes,Yes,Yes,11,13,Yes,51-75%,No,general
ASICS,30,4,Partial,Partial,Yes,8,8,No,1-25%,Yes,general
ASOS,34,5,Yes,Yes,Yes,9,9,Partial,26-50%,Partial,general
Bec & Bridge,1,0,No,No,No,0,0,No,0%,No,general
Best & Less,20,5,Yes,Partial,Yes,5,3,Partial,26-50%,No,general
Big W,31,5,Yes,Partial,Yes,6,6,Partial,1-25%,Partial,general
Birkenstock,15,5,Yes,Partial,Partial,6,1,No,0%,No,general
Bisley,17,3,Partial,No,Partial,4,3,Partial,1-25%,No,general
Blue Illusion,6,3,Partial,Partial,No,6,3,Partial,26-50%,No,general
Blundstone,20,2,Partial,No,No,6,7,No,26-50%,No,general
Boardriders,5,2,Partial,No,No,0,2,Partial,1-25%,No,general
Boden,32,6,Yes,Yes,Yes,9,5,Partial,51-75%,No,general
Boohoo,26,5,Yes,Partial,Yes,6,6,Partial,1-25%,Partial,general
